STNID,LATITUDE,LONGITUDE
722510-12924,27.773,-97.513
722515-12926,27.688,-97.292
722516-12928,27.509,-97.804
722517-12932,27.741,-98.025
722520-12920,27.55,-99.467
722524-99999,28.083000000000002,-97.05
722526-12947,28.459,-99.223
722530-12921,29.544,-98.48400000000001
722533-12962,29.36,-99.174
722535-12909,29.383,-98.583
722536-12911,29.533,-98.262
722540-13958,30.321,-97.76
722545-13904,30.183,-97.68
722546-12910,29.900000000000002,-97.867
722547-99999,30.683,-97.683
722550-12912,28.862000000000002,-96.93
722555-12935,28.725,-96.254
722560-13959,31.618000000000002,-97.22800000000001
722563-99999,31.483,-97.31700000000001
722570-03933,31.133,-97.717
722575-99999,31.083000000000002,-97.683
722576-03902,31.067,-97.833
722577-99999,31.150000000000002,-97.4
722583-13960,32.852000000000004,-96.85600000000001
722585-93901,32.733000000000004,-96.967
722587-99999,33.633,-95.45
722588-99999,33.067,-96.06700000000001
722590-03927,32.897,-97.022
722594-99999,32.983000000000004,-97.31700000000001
722595-13911,32.767,-97.45
722596-13961,32.819,-97.361
722597-93985,32.782000000000004,-98.06
722598-99999,32.967,-96.833
722599-99999,32.683,-96.867
722600-03969,32.215,-98.178
722610-22010,29.378,-100.927
722615-22001,29.367,-100.783
722620-23055,31.833000000000002,-104.809
722630-23034,31.352,-100.495
722636-93042,36.017,-102.55
722640-93035,30.371000000000002,-104.017
722650-23023,31.948,-102.209
722656-23040,31.78,-103.202
722660-13962,32.411,-99.682
722670-23042,33.666000000000004,-101.82300000000001
722673-99999,33.72,-96.67
722675-23021,33.6,-102.05
722680-23009,33.307,-104.508
722685-99999,34.1,-105.667
722686-23008,34.383,-103.31700000000001
722687-93033,32.334,-104.258
722688-93034,32.693,-103.21300000000001
722689-99999,34.433,-103.083
722690-99999,32.383,-106.483
722695-99999,32.283,-106.917
722700-23044,31.812,-106.377
722710-93045,33.237,-107.268
722725-99999,32.25,-107.717
722726-99999,31.42,-110.85000000000001
